vars,id,creation_time,failed,failed_reason,time_of_death,type,participant_id,question,answer,page_type,successful_validation,client_ip_address,metadata_,class,object_type
{},11,2023-02-16 17:01:30,False,,,Response,3,consent_form,['I agree'],ModularPage,,86.18.68.159,"{'time_taken': 2.732, 'platform': 'Chrome 109.0.0.0 on OS X 10.15.7 64-bit', 'download_speed_megabits_per_sec': 10, 'event_log': [{'eventType': 'trialConstruct', 'localTime': '2023-02-16T17:01:27.815Z', 'info': None}, {'eventType': 'trialPrepare', 'localTime': '2023-02-16T17:01:27.819Z', 'info': None}, {'eventType': 'trialStart', 'localTime': '2023-02-16T17:01:27.825Z', 'info': None}, {'eventType': 'responseEnable', 'localTime': '2023-02-16T17:01:27.834Z', 'info': None}, {'eventType': 'submitEnable', 'localTime': '2023-02-16T17:01:27.835Z', 'info': None}], 'prompt': {'text': '<div>\n  <h1>Consent form</h1>\n  <p>\n    <em>Please read the following text and select ‘Agree’ if you consent to these terms.</em>\n  </p>\n  <p>\n        I have been informed about the procedures to be used in this experiment and the tasks I need to perform, and I\n        have agreed to take part. I understand that taking part in this experiment is voluntary and I can withdraw from\n        the experiment at any time.\n        </p>\n  <p>\n        I understand that the data collected in this testing session will be stored on electronic media or on paper and\n        it may contribute to scientific publications and presentations. I agree that the data can be made available\n        anonymously for other researchers, both inside and outside the Centre for Music and Science and Faculty of\n        Music. These data will not be linked to me as an individual.\n        </p>\n</div>'}, 'control': {'name': 'checkboxes', 'choices': ['I agree'], 'labels': ['I agree'], 'force_selection': True}}",Response,_Response
{},12,2023-02-16 17:01:35,False,,,Response,3,untitled,,InfoPage,,86.18.68.159,"{'time_taken': 4.562, 'platform': 'Chrome 109.0.0.0 on OS X 10.15.7 64-bit', 'download_speed_megabits_per_sec': 10, 'event_log': [{'eventType': 'trialConstruct', 'localTime': '2023-02-16T17:01:31.178Z', 'info': None}, {'eventType': 'trialPrepare', 'localTime': '2023-02-16T17:01:31.189Z', 'info': None}, {'eventType': 'trialStart', 'localTime': '2023-02-16T17:01:31.193Z', 'info': None}, {'eventType': 'responseEnable', 'localTime': '2023-02-16T17:01:31.204Z', 'info': None}, {'eventType': 'submitEnable', 'localTime': '2023-02-16T17:01:31.204Z', 'info': None}], 'content': 'This experiment requires you to wear headphones. Please ensure you have plugged yours in now.'}",Response,_Response
{},13,2023-02-16 17:01:35,False,,,Response,2,headphone_trial,2,ModularPage,,92.238.254.178,"{'time_taken': 7.367, 'platform': 'Chrome 109.0.0.0 on Windows 10 64-bit', 'download_speed_megabits_per_sec': 9, 'event_log': [{'eventType': 'trialConstruct', 'localTime': '2023-02-16T17:01:28.656Z', 'info': None}, {'eventType': 'trialPrepare', 'localTime': '2023-02-16T17:01:30.645Z', 'info': None}, {'eventType': 'trialStart', 'localTime': '2023-02-16T17:01:30.646Z', 'info': None}, {'eventType': 'promptStart', 'localTime': '2023-02-16T17:01:30.655Z', 'info': None}, {'eventType': 'audioFinished: prompt', 'localTime': '2023-02-16T17:01:34.661Z', 'info': None}, {'eventType': 'promptEnd', 'localTime': '2023-02-16T17:01:34.661Z', 'info': None}, {'eventType': 'responseEnable', 'localTime': '2023-02-16T17:01:34.662Z', 'info': None}, {'eventType': 'submitEnable', 'localTime': '2023-02-16T17:01:34.663Z', 'info': None}, {'eventType': 'trialFinish', 'localTime': '2023-02-16T17:01:34.663Z', 'info': None}, {'eventType': 'trialFinished', 'localTime': '2023-02-16T17:01:34.664Z', 'info': None}, {'eventType': 'pushButtonClicked', 'localTime': '2023-02-16T17:01:35.990Z', 'info': {'buttonId': '2'}}], 'prompt': {'text': 'Which sound was softest (quietest) -- 1, 2, or 3?', 'url': 'https://s3.amazonaws.com/headphone-check/antiphase_HC_ISO.wav', 'play_window': [None, None]}, 'control': {'choices': ['1', '2', '3'], 'labels': ['1', '2', '3']}}",Response,_Response
{},14,2023-02-16 17:01:40,False,,,Response,4,untitled,,InfoPage,,82.35.39.109,,Response,_Response
{},15,2023-02-16 17:01:41,False,,,Response,3,volume_calibration,,ModularPage,,86.18.68.159,,Response,_Response
{},16,2023-02-16 17:01:44,False,,,Response,2,headphone_trial,3,ModularPage,,92.238.254.178,"{'time_taken': 6.358, 'platform': 'Chrome 109.0.0.0 on Windows 10 64-bit', 'download_speed_megabits_per_sec': 9, 'event_log': [{'eventType': 'trialConstruct', 'localTime': '2023-02-16T17:01:37.918Z', 'info': None}, {'eventType': 'trialPrepare', 'localTime': '2023-02-16T17:01:39.191Z', 'info': None}, {'eventType': 'trialStart', 'localTime': '2023-02-16T17:01:39.192Z', 'info': None}, {'eventType': 'promptStart', 'localTime': '2023-02-16T17:01:39.202Z', 'info': None}, {'eventType': 'audioFinished: prompt', 'localTime': '2023-02-16T17:01:43.224Z', 'info': None}, {'eventType': 'promptEnd', 'localTime': '2023-02-16T17:01:43.224Z', 'info': None}, {'eventType': 'responseEnable', 'localTime': '2023-02-16T17:01:43.224Z', 'info': None}, {'eventType': 'submitEnable', 'localTime': '2023-02-16T17:01:43.225Z', 'info': None}, {'eventType': 'trialFinish', 'localTime': '2023-02-16T17:01:43.226Z', 'info': None}, {'eventType': 'trialFinished', 'localTime': '2023-02-16T17:01:43.232Z', 'info': None}, {'eventType': 'pushButtonClicked', 'localTime': '2023-02-16T17:01:44.242Z', 'info': {'buttonId': '3'}}], 'prompt': {'text': 'Which sound was softest (quietest) -- 1, 2, or 3?', 'url': 'https://s3.amazonaws.com/headphone-check/antiphase_HC_IOS.wav', 'play_window': [None, None]}, 'control': {'choices': ['1', '2', '3'], 'labels': ['1', '2', '3']}}",Response,_Response
{},17,2023-02-16 17:01:45,False,,,Response,4,consent_form,['I agree'],ModularPage,,82.35.39.109,"{'time_taken': 3.132, 'platform': 'Chrome 109.0.0.0 on Chrome OS 64-bit', 'download_speed_megabits_per_sec': 10, 'event_log': [{'eventType': 'trialConstruct', 'localTime': '2023-02-16T17:01:41.103Z', 'info': None}, {'eventType': 'trialPrepare', 'localTime': '2023-02-16T17:01:41.136Z', 'info': None}, {'eventType': 'trialStart', 'localTime': '2023-02-16T17:01:41.141Z', 'info': None}, {'eventType': 'responseEnable', 'localTime': '2023-02-16T17:01:41.154Z', 'info': None}, {'eventType': 'submitEnable', 'localTime': '2023-02-16T17:01:41.155Z', 'info': None}], 'prompt': {'text': '<div>\n  <h1>Consent form</h1>\n  <p>\n    <em>Please read the following text and select ‘Agree’ if you consent to these terms.</em>\n  </p>\n  <p>\n        I have been informed about the procedures to be used in this experiment and the tasks I need to perform, and I\n        have agreed to take part. I understand that taking part in this experiment is voluntary and I can withdraw from\n        the experiment at any time.\n        </p>\n  <p>\n        I understand that the data collected in this testing session will be stored on electronic media or on paper and\n        it may contribute to scientific publications and presentations. I agree that the data can be made available\n        anonymously for other researchers, both inside and outside the Centre for Music and Science and Faculty of\n        Music. These data will not be linked to me as an individual.\n        </p>\n</div>'}, 'control': {'name': 'checkboxes', 'choices': ['I agree'], 'labels': ['I agree'], 'force_selection': True}}",Response,_Response
{},18,2023-02-16 17:01:48,False,,,Response,4,untitled,,InfoPage,,82.35.39.109,"{'time_taken': 2.075, 'platform': 'Chrome 109.0.0.0 on Chrome OS 64-bit', 'download_speed_megabits_per_sec': 10, 'event_log': [{'eventType': 'trialConstruct', 'localTime': '2023-02-16T17:01:45.498Z', 'info': None}, {'eventType': 'trialPrepare', 'localTime': '2023-02-16T17:01:45.514Z', 'info': None}, {'eventType': 'trialStart', 'localTime': '2023-02-16T17:01:45.519Z', 'info': None}, {'eventType': 'responseEnable', 'localTime': '2023-02-16T17:01:45.540Z', 'info': None}, {'eventType': 'submitEnable', 'localTime': '2023-02-16T17:01:45.541Z', 'info': None}], 'content': 'This experiment requires you to wear headphones. Please ensure you have plugged yours in now.'}",Response,_Response
{},19,2023-02-16 17:01:50,False,,,Response,3,untitled,,InfoPage,,86.18.68.159,"{'time_taken': 8.987, 'platform': 'Chrome 109.0.0.0 on OS X 10.15.7 64-bit', 'download_speed_megabits_per_sec': 10, 'event_log': [{'eventType': 'trialConstruct', 'localTime': '2023-02-16T17:01:41.922Z', 'info': None}, {'eventType': 'trialPrepare', 'localTime': '2023-02-16T17:01:41.928Z', 'info': None}, {'eventType': 'trialStart', 'localTime': '2023-02-16T17:01:41.933Z', 'info': None}, {'eventType': 'responseEnable', 'localTime': '2023-02-16T17:01:41.943Z', 'info': None}, {'eventType': 'submitEnable', 'localTime': '2023-02-16T17:01:41.944Z', 'info': None}], 'content': ""\n            We will now perform a short listening test to verify that your audio is working properly.\n            This test will be difficult to pass unless you listen carefully over your headphones.\n            Press 'Next' when you are ready to start.\n            ""}",Response,_Response
{},20,2023-02-16 17:01:52,False,,,Response,2,headphone_trial,3,ModularPage,,92.238.254.178,"{'time_taken': 7.178, 'platform': 'Chrome 109.0.0.0 on Windows 10 64-bit', 'download_speed_megabits_per_sec': 9, 'event_log': [{'eventType': 'trialConstruct', 'localTime': '2023-02-16T17:01:45.804Z', 'info': None}, {'eventType': 'trialPrepare', 'localTime': '2023-02-16T17:01:47.835Z', 'info': None}, {'eventType': 'trialStart', 'localTime': '2023-02-16T17:01:47.836Z', 'info': None}, {'eventType': 'promptStart', 'localTime': '2023-02-16T17:01:47.845Z', 'info': None}, {'eventType': 'audioFinished: prompt', 'localTime': '2023-02-16T17:01:51.848Z', 'info': None}, {'eventType': 'promptEnd', 'localTime': '2023-02-16T17:01:51.848Z', 'info': None}, {'eventType': 'responseEnable', 'localTime': '2023-02-16T17:01:51.849Z', 'info': None}, {'eventType': 'submitEnable', 'localTime': '2023-02-16T17:01:51.849Z', 'info': None}, {'eventType': 'trialFinish', 'localTime': '2023-02-16T17:01:51.850Z', 'info': None}, {'eventType': 'trialFinished', 'localTime': '2023-02-16T17:01:51.855Z', 'info': None}, {'eventType': 'pushButtonClicked', 'localTime': '2023-02-16T17:01:52.951Z', 'info': {'buttonId': '3'}}], 'prompt': {'text': 'Which sound was softest (quietest) -- 1, 2, or 3?', 'url': 'https://s3.amazonaws.com/headphone-check/antiphase_HC_OIS.wav', 'play_window': [None, None]}, 'control': {'choices': ['1', '2', '3'], 'labels': ['1', '2', '3']}}",Response,_Response
{},21,2023-02-16 17:02:00,False,,,Response,2,headphone_trial,1,ModularPage,,92.238.254.178,"{'time_taken': 5.888, 'platform': 'Chrome 109.0.0.0 on Windows 10 64-bit', 'download_speed_megabits_per_sec': 9, 'event_log': [{'eventType': 'trialConstruct', 'localTime': '2023-02-16T17:01:54.924Z', 'info': None}, {'eventType': 'trialPrepare', 'localTime': '2023-02-16T17:01:55.997Z', 'info': None}, {'eventType': 'trialStart', 'localTime': '2023-02-16T17:01:55.998Z', 'info': None}, {'eventType': 'promptStart', 'localTime': '2023-02-16T17:01:56.007Z', 'info': None}, {'eventType': 'audioFinished: prompt', 'localTime': '2023-02-16T17:02:00.019Z', 'info': None}, {'eventType': 'promptEnd', 'localTime': '2023-02-16T17:02:00.019Z', 'info': None}, {'eventType': 'responseEnable', 'localTime': '2023-02-16T17:02:00.020Z', 'info': None}, {'eventType': 'submitEnable', 'localTime': '2023-02-16T17:02:00.021Z', 'info': None}, {'eventType': 'trialFinish', 'localTime': '2023-02-16T17:02:00.021Z', 'info': None}, {'eventType': 'trialFinished', 'localTime': '2023-02-16T17:02:00.022Z', 'info': None}, {'eventType': 'pushButtonClicked', 'localTime': '2023-02-16T17:02:00.781Z', 'info': {'buttonId': '1'}}], 'prompt': {'text': 'Which sound was softest (quietest) -- 1, 2, or 3?', 'url': 'https://s3.amazonaws.com/headphone-check/antiphase_HC_SOI.wav', 'play_window': [None, None]}, 'control': {'choices': ['1', '2', '3'], 'labels': ['1', '2', '3']}}",Response,_Response
{},22,2023-02-16 17:02:02,False,,,Response,3,headphone_trial,1,ModularPage,,86.18.68.159,"{'time_taken': 10.827, 'platform': 'Chrome 109.0.0.0 on OS X 10.15.7 64-bit', 'download_speed_megabits_per_sec': 10, 'event_log': [{'eventType': 'trialConstruct', 'localTime': '2023-02-16T17:01:51.849Z', 'info': None}, {'eventType': 'trialPrepare', 'localTime': '2023-02-16T17:01:54.823Z', 'info': None}, {'eventType': 'trialStart', 'localTime': '2023-02-16T17:01:54.823Z', 'info': None}, {'eventType': 'promptStart', 'localTime': '2023-02-16T17:01:54.834Z', 'info': None}, {'eventType': 'audioFinished: prompt', 'localTime': '2023-02-16T17:01:58.843Z', 'info': None}, {'eventType': 'promptEnd', 'localTime': '2023-02-16T17:01:58.843Z', 'info': None}, {'eventType': 'responseEnable', 'localTime': '2023-02-16T17:01:58.843Z', 'info': None}, {'eventType': 'submitEnable', 'localTime': '2023-02-16T17:01:58.844Z', 'info': None}, {'eventType': 'trialFinish', 'localTime': '2023-02-16T17:01:58.844Z', 'info': None}, {'eventType': 'trialFinished', 'localTime': '2023-02-16T17:01:58.844Z', 'info': None}, {'eventType': 'pushButtonClicked', 'localTime': '2023-02-16T17:02:02.646Z', 'info': {'buttonId': '1'}}], 'prompt': {'text': 'Which sound was softest (quietest) -- 1, 2, or 3?', 'url': 'https://s3.amazonaws.com/headphone-check/antiphase_HC_SOI.wav', 'play_window': [None, None]}, 'control': {'choices': ['1', '2', '3'], 'labels': ['1', '2', '3']}}",Response,_Response
{},23,2023-02-16 17:02:11,False,,,Response,2,headphone_trial,2,ModularPage,,92.238.254.178,"{'time_taken': 8.988, 'platform': 'Chrome 109.0.0.0 on Windows 10 64-bit', 'download_speed_megabits_per_sec': 9, 'event_log': [{'eventType': 'trialConstruct', 'localTime': '2023-02-16T17:02:02.326Z', 'info': None}, {'eventType': 'trialPrepare', 'localTime': '2023-02-16T17:02:06.467Z', 'info': None}, {'eventType': 'trialStart', 'localTime': '2023-02-16T17:02:06.468Z', 'info': None}, {'eventType': 'promptStart', 'localTime': '2023-02-16T17:02:06.479Z', 'info': None}, {'eventType': 'audioFinished: prompt', 'localTime': '2023-02-16T17:02:10.486Z', 'info': None}, {'eventType': 'promptEnd', 'localTime': '2023-02-16T17:02:10.486Z', 'info': None}, {'eventType': 'responseEnable', 'localTime': '2023-02-16T17:02:10.487Z', 'info': None}, {'eventType': 'submitEnable', 'localTime': '2023-02-16T17:02:10.488Z', 'info': None}, {'eventType': 'trialFinish', 'localTime': '2023-02-16T17:02:10.488Z', 'info': None}, {'eventType': 'trialFinished', 'localTime': '2023-02-16T17:02:10.489Z', 'info': None}, {'eventType': 'pushButtonClicked', 'localTime': '2023-02-16T17:02:11.280Z', 'info': {'buttonId': '2'}}], 'prompt': {'text': 'Which sound was softest (quietest) -- 1, 2, or 3?', 'url': 'https://s3.amazonaws.com/headphone-check/antiphase_HC_OSI.wav', 'play_window': [None, None]}, 'control': {'choices': ['1', '2', '3'], 'labels': ['1', '2', '3']}}",Response,_Response
{},24,2023-02-16 17:02:12,False,,,Response,3,headphone_trial,3,ModularPage,,86.18.68.159,"{'time_taken': 8.955, 'platform': 'Chrome 109.0.0.0 on OS X 10.15.7 64-bit', 'download_speed_megabits_per_sec': 10, 'event_log': [{'eventType': 'trialConstruct', 'localTime': '2023-02-16T17:02:03.806Z', 'info': None}, {'eventType': 'trialPrepare', 'localTime': '2023-02-16T17:02:06.880Z', 'info': None}, {'eventType': 'trialStart', 'localTime': '2023-02-16T17:02:06.880Z', 'info': None}, {'eventType': 'promptStart', 'localTime': '2023-02-16T17:02:06.890Z', 'info': None}, {'eventType': 'audioFinished: prompt', 'localTime': '2023-02-16T17:02:10.899Z', 'info': None}, {'eventType': 'promptEnd', 'localTime': '2023-02-16T17:02:10.899Z', 'info': None}, {'eventType': 'responseEnable', 'localTime': '2023-02-16T17:02:10.900Z', 'info': None}, {'eventType': 'submitEnable', 'localTime': '2023-02-16T17:02:10.900Z', 'info': None}, {'eventType': 'trialFinish', 'localTime': '2023-02-16T17:02:10.900Z', 'info': None}, {'eventType': 'trialFinished', 'localTime': '2023-02-16T17:02:10.901Z', 'info': None}, {'eventType': 'pushButtonClicked', 'localTime': '2023-02-16T17:02:12.733Z', 'info': {'buttonId': '3'}}], 'prompt': {'text': 'Which sound was softest (quietest) -- 1, 2, or 3?', 'url': 'https://s3.amazonaws.com/headphone-check/antiphase_HC_OSI.wav', 'play_window': [None, None]}, 'control': {'choices': ['1', '2', '3'], 'labels': ['1', '2', '3']}}",Response,_Response
{},25,2023-02-16 17:02:21,False,,,Response,3,headphone_trial,1,ModularPage,,86.18.68.159,"{'time_taken': 7.52, 'platform': 'Chrome 109.0.0.0 on OS X 10.15.7 64-bit', 'download_speed_megabits_per_sec': 10, 'event_log': [{'eventType': 'trialConstruct', 'localTime': '2023-02-16T17:02:13.683Z', 'info': None}, {'eventType': 'trialPrepare', 'localTime': '2023-02-16T17:02:16.643Z', 'info': None}, {'eventType': 'trialStart', 'localTime': '2023-02-16T17:02:16.643Z', 'info': None}, {'eventType': 'promptStart', 'localTime': '2023-02-16T17:02:16.653Z', 'info': None}, {'eventType': 'audioFinished: prompt', 'localTime': '2023-02-16T17:02:20.663Z', 'info': None}, {'eventType': 'promptEnd', 'localTime': '2023-02-16T17:02:20.663Z', 'info': None}, {'eventType': 'responseEnable', 'localTime': '2023-02-16T17:02:20.663Z', 'info': None}, {'eventType': 'submitEnable', 'localTime': '2023-02-16T17:02:20.664Z', 'info': None}, {'eventType': 'trialFinish', 'localTime': '2023-02-16T17:02:20.665Z', 'info': None}, {'eventType': 'trialFinished', 'localTime': '2023-02-16T17:02:20.665Z', 'info': None}, {'eventType': 'pushButtonClicked', 'localTime': '2023-02-16T17:02:21.170Z', 'info': {'buttonId': '1'}}], 'prompt': {'text': 'Which sound was softest (quietest) -- 1, 2, or 3?', 'url': 'https://s3.amazonaws.com/headphone-check/antiphase_HC_SIO.wav', 'play_window': [None, None]}, 'control': {'choices': ['1', '2', '3'], 'labels': ['1', '2', '3']}}",Response,_Response
{},26,2023-02-16 17:02:23,False,,,Response,2,untitled,,InfoPage,,92.238.254.178,,Response,_Response
{},27,2023-02-16 17:02:28,False,,,Response,3,headphone_trial,2,ModularPage,,86.18.68.159,"{'time_taken': 5.989, 'platform': 'Chrome 109.0.0.0 on OS X 10.15.7 64-bit', 'download_speed_megabits_per_sec': 10, 'event_log': [{'eventType': 'trialConstruct', 'localTime': '2023-02-16T17:02:22.235Z', 'info': None}, {'eventType': 'trialPrepare', 'localTime': '2023-02-16T17:02:23.662Z', 'info': None}, {'eventType': 'trialStart', 'localTime': '2023-02-16T17:02:23.663Z', 'info': None}, {'eventType': 'promptStart', 'localTime': '2023-02-16T17:02:23.672Z', 'info': None}, {'eventType': 'audioFinished: prompt', 'localTime': '2023-02-16T17:02:27.684Z', 'info': None}, {'eventType': 'promptEnd', 'localTime': '2023-02-16T17:02:27.684Z', 'info': None}, {'eventType': 'responseEnable', 'localTime': '2023-02-16T17:02:27.684Z', 'info': None}, {'eventType': 'submitEnable', 'localTime': '2023-02-16T17:02:27.684Z', 'info': None}, {'eventType': 'trialFinish', 'localTime': '2023-02-16T17:02:27.684Z', 'info': None}, {'eventType': 'trialFinished', 'localTime': '2023-02-16T17:02:27.685Z', 'info': None}, {'eventType': 'pushButtonClicked', 'localTime': '2023-02-16T17:02:28.196Z', 'info': {'buttonId': '2'}}], 'prompt': {'text': 'Which sound was softest (quietest) -- 1, 2, or 3?', 'url': 'https://s3.amazonaws.com/headphone-check/antiphase_HC_ISO.wav', 'play_window': [None, None]}, 'control': {'choices': ['1', '2', '3'], 'labels': ['1', '2', '3']}}",Response,_Response
