constant_id,file_path,line_number,name,value,kind,category,reason,citation,verification_method,verification_outcome,verification_source,confidence,escalation_flag,notes
A7_AN_MNI_014,brain/regions/an.py,19,Region.mni_coords,"(8, -26, -24)",call-kw,C,"MNI centroid for Auditory Nerve. Cites Heil & Peterson 2015. The AN is peripheral (cranial nerve VIII) — MNI152 coverage is approximate at best. Author-assigned representative coord. STRUCTURAL.",NONE,N/A,N/A,"AN is outside standard MNI brain mask coverage; coord is conventional approximation",MEDIUM,FALSE,"Brainstem/peripheral region; MNI152 atlas does not cleanly include cranial nerves"
A7_CAUDATE_INDEX_015,brain/regions/caudate.py,15,Region.index,14,call-kw,C,"Topology index in RAM tensor (subcortical block).",NONE,N/A,N/A,"Topology slot 14",HIGH,FALSE,""
A7_CAUDATE_MNI_016,brain/regions/caudate.py,19,Region.mni_coords,"(12, 10, 10)",call-kw,C,"MNI centroid for right Caudate Nucleus. Cites Salimpoor 2011 / Zatorre & Salimpoor 2013. Bit-exact verification against Salimpoor 2011 NEGATIVE in web search; coord plausible for caudate head region. STRUCTURAL anatomical-reference.",NONE,websearch-google,NEGATIVE,"Salimpoor 2011 PET paper reports findings narratively, exact stereotactic peaks not surfaced in web search; (12,10,10) plausible per Harvard-Oxford caudate range",MEDIUM,FALSE,"Salimpoor finding (caudate-leads-NAcc) is empirical anchor but specific MNI peak not verifiable bit-exact via web"
A7_CN_INDEX_017,brain/regions/cn.py,16,Region.index,23,call-kw,C,"Topology index in RAM tensor (brainstem block).",NONE,N/A,N/A,"Topology slot 23",HIGH,FALSE,""
A7_CN_MNI_018,brain/regions/cn.py,20,Region.mni_coords,"(10, -38, -32)",call-kw,C,"MNI centroid for Cochlear Nucleus. Cites Young & Oertel 2004. CN is brainstem — outside standard MNI152 cortical mask. Author-assigned conventional brainstem coord. STRUCTURAL.",NONE,N/A,N/A,"Brainstem region; MNI152 coverage approximate",MEDIUM,FALSE,"Brainstem nucleus"
A7_DLPFC_INDEX_019,brain/regions/dlpfc.py,14,Region.index,4,call-kw,C,"Topology index in RAM tensor (cortical block).",NONE,N/A,N/A,"Topology slot 4",HIGH,FALSE,""
A7_DLPFC_MNI_020,brain/regions/dlpfc.py,18,Region.mni_coords,"(42, 32, 30)",call-kw,C,"MNI centroid for right dlPFC. Cites Zatorre 1994 / Owen 2005. Within dlPFC range per multiple atlases; not bit-exact to single primary. STRUCTURAL.",NONE,N/A,N/A,"Author-aggregated atlas centroid in middle frontal gyrus range",MEDIUM,FALSE,""
A7_DLPFC_BA_021,brain/regions/dlpfc.py,19,Region.brodmann_area,46,call-kw,C,"Brodmann area 46 = dorsolateral prefrontal cortex. Textbook anatomy from Brodmann 1909.",Brodmann 1909,N/A,POSITIVE,"BA46 = dlPFC — standard anatomical mapping",HIGH,FALSE,"Anatomical label"
A7_HIPP_INDEX_022,brain/regions/hippocampus.py,15,Region.index,16,call-kw,C,"Topology index in RAM tensor (subcortical block).",NONE,N/A,N/A,"Topology slot 16",HIGH,FALSE,""
A7_HIPP_MNI_023,brain/regions/hippocampus.py,19,Region.mni_coords,"(28, -22, -12)",call-kw,C,"MNI centroid for right Hippocampus. Cites Janata 2009 / Watanabe 2008. Plausible hippocampal body range per Harvard-Oxford. STRUCTURAL anatomical-reference.",NONE,N/A,N/A,"Within hippocampus range; author-aggregated",MEDIUM,FALSE,""
A7_HYP_INDEX_024,brain/regions/hypothalamus.py,15,Region.index,19,call-kw,C,"Topology index in RAM tensor (subcortical block).",NONE,N/A,N/A,"Topology slot 19",HIGH,FALSE,""
A7_HYP_MNI_025,brain/regions/hypothalamus.py,19,Region.mni_coords,"(0, -4, -8)",call-kw,C,"MNI centroid for Hypothalamus. Cites Blood & Zatorre 2001. Plausible hypothalamic region; not bit-exact verifiable. STRUCTURAL.",NONE,N/A,N/A,"Midline subcortical author-assigned coord",MEDIUM,FALSE,""
A7_IC_INDEX_026,brain/regions/ic.py,15,Region.index,21,call-kw,C,"Topology index in RAM tensor (brainstem block, first slot).",NONE,N/A,N/A,"Topology slot 21",HIGH,FALSE,""
A7_IC_MNI_027,brain/regions/ic.py,19,Region.mni_coords,"(0, -34, -8)",call-kw,C,"MNI centroid for Inferior Colliculus. Cites Coffey 2016 / Chandrasekaran & Kraus 2010. Midbrain auditory relay; conventional brainstem coord. STRUCTURAL.",NONE,N/A,N/A,"Brainstem; author-assigned representative",MEDIUM,FALSE,""
A7_IFG_INDEX_028,brain/regions/ifg.py,15,Region.index,3,call-kw,C,"Topology index in RAM tensor (cortical block).",NONE,N/A,N/A,"Topology slot 3",HIGH,FALSE,""
A7_IFG_MNI_029,brain/regions/ifg.py,19,Region.mni_coords,"(48, 18, 8)",call-kw,C,"MNI centroid for right IFG (Broca's area). Cites Koelsch 2011 / Sammler 2013. Within pars opercularis range per Harvard-Oxford. STRUCTURAL anatomical-reference.",NONE,N/A,N/A,"Author-aggregated; within IFG/Broca range",MEDIUM,FALSE,""
A7_IFG_BA_030,brain/regions/ifg.py,20,Region.brodmann_area,44,call-kw,C,"Brodmann area 44 = pars opercularis of IFG (part of Broca's area). Textbook anatomy from Brodmann 1909.",Brodmann 1909,N/A,POSITIVE,"BA44 = pars opercularis (Broca) — standard anatomical mapping",HIGH,FALSE,"Anatomical label"
A7_INSULA_INDEX_031,brain/regions/insula.py,15,Region.index,20,call-kw,C,"Topology index in RAM tensor (subcortical block, last slot).",NONE,N/A,N/A,"Topology slot 20",HIGH,FALSE,""
A7_INSULA_MNI_032,brain/regions/insula.py,19,Region.mni_coords,"(36, 16, 0)",call-kw,C,"MNI centroid for right Insula (anterior). Cites Craig 2009 / Koelsch 2014. Within anterior insular cortex per Harvard-Oxford. STRUCTURAL.",NONE,N/A,N/A,"Author-aggregated; within anterior insula range",MEDIUM,FALSE,""
A7_MGB_INDEX_033,brain/regions/mgb.py,15,Region.index,18,call-kw,C,"Topology index in RAM tensor (subcortical block).",NONE,N/A,N/A,"Topology slot 18",HIGH,FALSE,""
A7_MGB_MNI_034,brain/regions/mgb.py,19,Region.mni_coords,"(14, -24, -2)",call-kw,C,"MNI centroid for right Medial Geniculate Body (thalamic auditory relay). Cites Suga 2008 / Winer 2005. Within medial thalamic nuclei per Brainnetome. STRUCTURAL.",NONE,N/A,N/A,"Thalamic auditory relay; author-assigned",MEDIUM,FALSE,""
A7_NACC_INDEX_035,brain/regions/nacc.py,15,Region.index,13,call-kw,C,"Topology index in RAM tensor (subcortical block).",NONE,N/A,N/A,"Topology slot 13",HIGH,FALSE,""
A7_NACC_MNI_036,brain/regions/nacc.py,19,Region.mni_coords,"(10, 12, -8)",call-kw,C,"MNI centroid for right Nucleus Accumbens. Cites Salimpoor 2011. Bit-exact verification against Salimpoor 2011 NEGATIVE in 2 web searches; coordinate plausible for NAcc but z=-8 is deeper than Harvard-Oxford centroid (~+1). Conservative: STRUCTURAL anatomical-reference, NOT LIT-VERBATIM.",NONE,websearch-google,NEGATIVE,"Salimpoor 2011 Nature Neurosci abstract surfaces methodology but exact MNI peaks not retrievable via 2 web search attempts; Harvard-Oxford NAcc centroid ~(11,11,1) — code value (10,12,-8) is not bit-exact match",MEDIUM,TRUE,"Salimpoor is empirical anchor for the +0.9s caudate-leads-NAcc finding but specific peak coords not verbatim; flagged for manual review to deeper search"
A7_OFC_INDEX_037,brain/regions/ofc.py,15,Region.index,6,call-kw,C,"Topology index in RAM tensor (cortical block).",NONE,N/A,N/A,"Topology slot 6",HIGH,FALSE,""
A7_OFC_MNI_038,brain/regions/ofc.py,19,Region.mni_coords,"(28, 34, -16)",call-kw,C,"MNI centroid for right OFC. Cites Blood & Zatorre 2001 / Salimpoor 2013. Within lateral OFC range per Harvard-Oxford. STRUCTURAL.",NONE,N/A,N/A,"Author-aggregated lateral OFC coord",MEDIUM,FALSE,""
A7_OFC_BA_039,brain/regions/ofc.py,20,Region.brodmann_area,11,call-kw,C,"Brodmann area 11 = orbitofrontal cortex (medial OFC). Textbook anatomy from Brodmann 1909.",Brodmann 1909,N/A,POSITIVE,"BA11 = OFC — standard anatomical mapping",HIGH,FALSE,"Anatomical label"
A7_PAG_INDEX_040,brain/regions/pag.py,16,Region.index,25,call-kw,C,"Topology index in RAM tensor (brainstem block, last slot — RAM tensor cardinality boundary).",NONE,N/A,N/A,"Topology slot 25 (final slot, NUM_REGIONS=26)",HIGH,FALSE,"Last region — defines RAM tensor cardinality"
A7_PAG_MNI_041,brain/regions/pag.py,20,Region.mni_coords,"(0, -30, -10)",call-kw,C,"MNI centroid for Periaqueductal Gray. Cites Blood & Zatorre 2001 / Goldstein 1983. Midbrain midline coord; conventional brainstem location. STRUCTURAL.",NONE,N/A,N/A,"Brainstem midline; author-assigned representative",MEDIUM,FALSE,""
A7_PMC_INDEX_042,brain/regions/pmc.py,14,Region.index,9,call-kw,C,"Topology index in RAM tensor (cortical block).",NONE,N/A,N/A,"Topology slot 9",HIGH,FALSE,""
A7_PMC_MNI_043,brain/regions/pmc.py,18,Region.mni_coords,"(46, 0, 48)",call-kw,C,"MNI centroid for right Premotor Cortex. Cites Chen 2008 / Zatorre 2007. Within lateral PMC per multiple atlases. STRUCTURAL.",NONE,N/A,N/A,"Lateral premotor strip; author-aggregated",MEDIUM,FALSE,""
A7_PMC_BA_044,brain/regions/pmc.py,19,Region.brodmann_area,6,call-kw,C,"Brodmann area 6 = premotor cortex / SMA. Textbook anatomy from Brodmann 1909. NOTE: SMA (region 8) shares BA6 — Brodmann 6 spans both lateral PMC and medial SMA.",Brodmann 1909,N/A,POSITIVE,"BA6 = premotor + SMA — standard anatomical mapping",HIGH,FALSE,"Shared with SMA — BA6 is the broad premotor zone"
A7_PUT_INDEX_045,brain/regions/putamen.py,15,Region.index,17,call-kw,C,"Topology index in RAM tensor (subcortical block).",NONE,N/A,N/A,"Topology slot 17",HIGH,FALSE,""
A7_PUT_MNI_046,brain/regions/putamen.py,19,Region.mni_coords,"(26, 4, 2)",call-kw,C,"MNI centroid for right Putamen. Cites Grahn & Rowe 2009. Within putamen range per Harvard-Oxford subcortical. STRUCTURAL.",NONE,N/A,N/A,"Author-aggregated putaminal coord",MEDIUM,FALSE,""
A7_SMA_INDEX_047,brain/regions/sma.py,15,Region.index,8,call-kw,C,"Topology index in RAM tensor (cortical block).",NONE,N/A,N/A,"Topology slot 8",HIGH,FALSE,""
A7_SMA_MNI_048,brain/regions/sma.py,19,Region.mni_coords,"(2, -2, 56)",call-kw,C,"MNI centroid for SMA (midline medial wall). Cites Grahn & Rowe 2009/2013. Conventional pre-SMA/SMA-proper boundary coord; Grahn-Rowe report SMA peaks in similar range but exact bit-equal not verified. STRUCTURAL.",NONE,N/A,N/A,"Midline; author-aggregated representative SMA centroid",MEDIUM,FALSE,""
A7_SMA_BA_049,brain/regions/sma.py,20,Region.brodmann_area,6,call-kw,C,"Brodmann area 6 (medial portion = SMA). Textbook anatomy from Brodmann 1909.",Brodmann 1909,N/A,POSITIVE,"BA6 medial = SMA — standard anatomical mapping",HIGH,FALSE,"Shared BA6 with PMC"
A7_SOC_INDEX_050,brain/regions/soc.py,15,Region.index,24,call-kw,C,"Topology index in RAM tensor (brainstem block).",NONE,N/A,N/A,"Topology slot 24",HIGH,FALSE,""
A7_SOC_MNI_051,brain/regions/soc.py,19,Region.mni_coords,"(6, -34, -24)",call-kw,C,"MNI centroid for Superior Olivary Complex. Cites Grothe 2010. Pontine brainstem coord; outside standard MNI152 cortical mask. Author-assigned approximation. STRUCTURAL.",NONE,N/A,N/A,"Brainstem; MNI152 coverage approximate for SOC",MEDIUM,FALSE,""
A7_STG_INDEX_052,brain/regions/stg.py,15,Region.index,1,call-kw,C,"Topology index in RAM tensor (cortical block). STG is the top RAM convergence hub (98 RegionLinks per MEMORY.md).",NONE,N/A,N/A,"Topology slot 1",HIGH,FALSE,""
A7_STG_MNI_053,brain/regions/stg.py,19,Region.mni_coords,"(58, -22, 4)",call-kw,C,"MNI centroid for right STG (mid-posterior). Cites Griffiths & Warren 2002 / Alluri 2012. Plausible mid-STG range per Harvard-Oxford. STRUCTURAL.",NONE,N/A,N/A,"Author-aggregated mid-STG coord",MEDIUM,FALSE,""
A7_STG_BA_054,brain/regions/stg.py,20,Region.brodmann_area,22,call-kw,C,"Brodmann area 22 = superior temporal gyrus (auditory association). Textbook anatomy from Brodmann 1909.",Brodmann 1909,websearch-google,POSITIVE,"BA22 = STG including Wernicke's — Wikipedia + ScienceDirect overview",HIGH,FALSE,"Anatomical label"
A7_STS_INDEX_055,brain/regions/sts.py,14,Region.index,2,call-kw,C,"Topology index in RAM tensor (cortical block).",NONE,N/A,N/A,"Topology slot 2",HIGH,FALSE,""
A7_STS_MNI_056,brain/regions/sts.py,18,Region.mni_coords,"(54, -32, 4)",call-kw,C,"MNI centroid for right STS. Cites Belin 2000 / Peretz & Coltheart 2003. Within STS range per Harvard-Oxford; author-aggregated. STRUCTURAL.",NONE,N/A,N/A,"Author-aggregated STS coord",MEDIUM,FALSE,""
A7_STS_BA_057,brain/regions/sts.py,19,Region.brodmann_area,21,call-kw,C,"Brodmann area 21 = middle temporal gyrus / STS (sulcal banks). Textbook anatomy from Brodmann 1909.",Brodmann 1909,N/A,POSITIVE,"BA21 = middle temporal — standard anatomical mapping",HIGH,FALSE,"Anatomical label"
A7_TP_INDEX_058,brain/regions/tp.py,15,Region.index,11,call-kw,C,"Topology index in RAM tensor (cortical block, last cortical slot).",NONE,N/A,N/A,"Topology slot 11 (last cortical, cortical block ends here)",HIGH,FALSE,""
A7_TP_MNI_059,brain/regions/tp.py,19,Region.mni_coords,"(42, 12, -32)",call-kw,C,"MNI centroid for right Temporal Pole. Cites Patterson 2007 / Peretz & Coltheart 2003. Within TP per Harvard-Oxford. STRUCTURAL.",NONE,N/A,N/A,"Author-aggregated TP coord",MEDIUM,FALSE,""
A7_TP_BA_060,brain/regions/tp.py,20,Region.brodmann_area,38,call-kw,C,"Brodmann area 38 = temporopolar cortex (anterior temporal pole). Textbook anatomy from Brodmann 1909.",Brodmann 1909,N/A,POSITIVE,"BA38 = temporal pole — standard anatomical mapping",HIGH,FALSE,"Anatomical label"
A7_VMPFC_INDEX_061,brain/regions/vmpfc.py,15,Region.index,5,call-kw,C,"Topology index in RAM tensor (cortical block).",NONE,N/A,N/A,"Topology slot 5",HIGH,FALSE,""
A7_VMPFC_MNI_062,brain/regions/vmpfc.py,19,Region.mni_coords,"(2, 46, -10)",call-kw,C,"MNI centroid for vmPFC. Cites Janata 2009 / Blood & Zatorre 2001. Midline anterior; Janata reports rostromedial PFC tonality activations in similar range but bit-exact (2,46,-10) verification NEGATIVE in 1 web search. STRUCTURAL.",NONE,websearch-google,NEGATIVE,"Janata 2009 J Cog Neurosci abstract describes rostromedial PFC tonality map but specific MNI peaks not surfaced; (2,46,-10) plausible per Harvard-Oxford frontal pole / vmPFC range",MEDIUM,FALSE,"Author-aggregated midline anterior coord"
A7_VMPFC_BA_063,brain/regions/vmpfc.py,20,Region.brodmann_area,10,call-kw,C,"Brodmann area 10 = frontopolar / anterior PFC (includes medial OFC subregion). Textbook anatomy from Brodmann 1909.",Brodmann 1909,N/A,POSITIVE,"BA10 = frontopolar — standard anatomical mapping",HIGH,FALSE,"Anatomical label"
A7_VTA_INDEX_064,brain/regions/vta.py,15,Region.index,12,call-kw,C,"Topology index in RAM tensor (subcortical block, first slot).",NONE,N/A,N/A,"Topology slot 12 (first subcortical)",HIGH,FALSE,""
A7_VTA_MNI_065,brain/regions/vta.py,19,Region.mni_coords,"(0, -16, -8)",call-kw,C,"MNI centroid for Ventral Tegmental Area (midbrain midline). Cites Schultz 1997 / Ferreri 2019. Midbrain VTA; outside standard cortical MNI coverage. Conventional brainstem/midbrain coord. STRUCTURAL.",NONE,N/A,N/A,"Midbrain midline; author-assigned approximation",MEDIUM,FALSE,"Midbrain region, not in standard MNI152 cortical mask"
